app_name,review_id,review_date,rating,review_text,review_text_clean,thumbs_up_count,app_version,sentiment_score,gap_score,mismatch_label
bKash,c135c481-96ac-4eb8-89e2-c67804f39ad6,2026-06-06 08:37:01,5,anek Balu,anek balu,0,7.1.0,0.0,0.5,Inflated
bKash,4de70d77-d88e-4526-a767-2110ee641b0e,2026-06-05 19:47:48,5,best,best,0,7.1.0,0.6369,0.18155,Consistent
bKash,dc110ad0-d855-4f1f-a066-a9e91c19d319,2026-06-04 16:15:49,5,Good App,gooddood app,0,7.2.0,0.0,0.5,Inflated
bKash,562676cc-c3c5-44a6-8fea-f1431804ac23,2026-06-04 13:50:05,5,nice,nice,0,7.2.0,0.4215,0.28925,Inflated
bKash,67fcb5f9-c0bc-4efe-97ac-50291d5898fd,2026-06-03 02:10:37,1,খুব ভালো,good,0,7.0.0,0.4404,-0.7202,Deflated
bKash,636229e1-5397-4025-9423-6c370129c44a,2026-06-02 21:28:07,5,Bhalo app,gooddood app,0,unknown,0.0,0.5,Inflated
bKash,a96affc0-e648-46b8-a0ac-d51aad160a84,2026-06-01 18:24:15,5,ভালো,good,0,7.1.0,0.4404,0.2798,Inflated
bKash,8c9b023d-b2b3-4049-85fe-cf93556cb081,2026-06-01 16:06:53,3,ভালো,good,0,7.2.0,0.4404,-0.2202,Consistent
bKash,55e9e27e-fb4d-4b8f-897c-eb4071db015b,2026-06-01 10:38:42,5,very helpful apps,very helpappul apps,0,7.2.0,0.0,0.5,Inflated
bKash,8c1a4b92-1237-4498-8ef9-a5ab13074b39,2026-05-30 22:07:25,1,. kub baje app 32k taka lock kore felse coustomer service take kono support pay nai Issa kore besi taka dake lock kore dise personal account,. kub baje app 32k taka lock kore appelse coustomer serbrotherce take kono supaftert pay nonoti issa kore besi taka dake lock kore dise persononotl account,3,7.2.0,-0.1027,-0.44865,Deflated
bKash,12fea6ed-2620-4a83-8a6d-fc8396809ffa,2026-05-30 08:58:58,5,nice,nice,0,7.2.0,0.4215,0.28925,Inflated
bKash,c359ed97-2286-4f10-9efb-6fc547894503,2026-05-29 07:00:18,5,Ok ok ok,ok ok ok,0,unknown,0.6808,0.15960000000000002,Consistent
bKash,0ec2dd2a-481e-46b4-a1d7-d336d452ef5e,2026-05-27 23:43:32,5,নাইছ,nice,0,7.2.0,0.4215,0.28925,Inflated
bKash,c1cc1041-5a3a-4cfc-bcfe-418bed248f46,2026-05-27 22:28:09,5,Excellent Performance and very helpful... Best wishes ever ❤️,excellent perapaftermanice and very helpappul.. best wishes ever red_heart,0,unknown,0.8762,0.06190000000000001,Consistent
bKash,b7745d87-68ba-470c-8bf8-f6c00a679392,2026-05-27 16:33:26,5,DJSUMON,djsumon,0,7.2.0,0.0,0.5,Inflated
bKash,5bcf2b0e-1544-4b16-bdcd-43deee324bec,2026-05-27 13:56:34,5,ভালো,good,0,7.1.0,0.4404,0.2798,Inflated
bKash,f61b74e1-8eb0-405f-9f84-24672f4dd49a,2026-05-27 06:56:48,5,ShagorAhamedRobin,shagooddorahamedrobin,0,7.2.0,0.0,0.5,Inflated
bKash,568458ad-0bed-4d38-a8f9-ccca5010511c,2026-05-26 20:01:29,5,ok,ok,0,unknown,0.296,0.352,Inflated
